referencia,transcricao_simulada
"""Marcos, o senhor tem algum histórico de violência ou comportamentos impulsivos, especialmente relacionados ao trabalho?""","ERRO o senhor tem algum histórico de ou comportamentos impulsivos, relacionados ao trabalho?"""
"""Não, nunca. Eu sou um cara tranquilo. Eu tive um problema com o João, mas isso é coisa de trabalho, nada mais.""","""Não, ERRO Eu sou um cara tranquilo. EXTRA Eu tive EXTRA um problema com o João, mas isso é coisa de trabalho, nada mais."""
"""Entendido. Então, o senhor também sabe que vandalismo é um crime sério, e mesmo que o senhor tenha se irritado com a situação, agir dessa maneira pode ter consequências. O senhor acha que pode estar tentando negar algo que, no fundo, talvez tenha acontecido de uma forma impulsiva?""","""Entendido. Então, o senhor ERRO sabe que vandalismo é um crime ERRO mesmo que o senhor tenha se irritado com a situação, agir dessa maneira ter consequências. O senhor EXTRA acha que pode EXTRA tentando negar que, no fundo, talvez tenha acontecido de uma forma impulsiva?"""
"""Não, eu juro que não fiz isso. Eu sou um cara racional, e sei quando a coisa vai longe demais. Eu não teria agido dessa maneira.""","""Não, eu juro ERRO não EXTRA isso. Eu sou um EXTRA cara racional, e sei quando a EXTRA coisa vai longe demais. Eu não teria agido dessa maneira."""
"""Marcos, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se o senhor tiver algo mais a acrescentar ou ajustar em sua versão, este é o momento.""","EXTRA ""Marcos, agradeço pela sua colaboração. Esta gravação será analisada junto ERRO as outras evidências. Se o senhor tiver EXTRA EXTRA algo EXTRA mais a acrescentar ou em sua versão, este é o momento."""
"""Não, não tenho mais nada a dizer. Eu não fiz nada disso.""","""Não, não EXTRA tenho mais EXTRA nada a dizer. Eu não fiz nada disso."""
"""Perfeito. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo e pela cooperação.""","EXTRA ""Perfeito. O senhor será informado sobre os próximos passos ERRO processo. Obrigado pelo seu EXTRA tempo e pela cooperação."""
"""Boa tarde, Luís Costa. Esta entrevista está sendo gravada. O senhor tem o direito de permanecer em silêncio e de contar com a presença de um advogado durante todo o processo. Está ciente de seus direitos?""","""Boa tarde, Luís Costa. Esta entrevista está sendo ERRO O senhor tem o EXTRA EXTRA direito de permanecer em silêncio e de ERRO com a presença de um advogado durante todo o processo. Está ciente EXTRA de EXTRA seus direitos?"""
"""Sim, estou ciente.""","""Sim, EXTRA estou ciente."""
"""Perfeito. Estamos aqui para falar sobre um incidente ocorrido no prédio histórico localizado na Rua Augusta, no centro de Lisboa, na noite do dia 18 de novembro. Uma pichação foi registrada na parede externa do edifício, causando danos significativos à propriedade. A pichação contém mensagens de teor ofensivo e foi feita com tinta spray. Testemunhas afirmam ter visto um jovem semelhante ao senhor na área, e há imagens de câmeras de segurança que o identificam como sendo a pessoa que cometeu o ato. O senhor está disposto a explicar o que aconteceu?""","Estamos aqui para falar sobre um EXTRA incidente no prédio histórico localizado na Rua Augusta, no centro de ERRO na noite do dia 18 de novembro. Uma pichação foi registrada EXTRA EXTRA na parede externa ERRO edifício, causando danos significativos à propriedade. A pichação contém mensagens de teor ofensivo e foi feita com tinta spray. ERRO afirmam ter um jovem semelhante ERRO senhor EXTRA na área, e ERRO imagens de câmeras ERRO segurança que o como sendo a pessoa que cometeu o O senhor está disposto a explicar o que aconteceu?"""
"""Eu não fiz nada, não sei do que você está falando. Eu não pichei aquele muro!""","EXTRA ""Eu não fiz nada, não sei do você está falando. Eu não pichei aquele muro!"""
"""Luís, onde o senhor estava na noite de 18 de novembro, por volta das 22h? Pode me dizer o que estava fazendo naquela hora?""","ERRO onde o senhor ERRO na noite de 18 de novembro, por volta das 22h? Pode me dizer EXTRA o que estava ERRO naquela hora?"""
"""Eu estava em casa, jogando videogame. Não saí para lugar nenhum.""","""Eu estava em casa, jogando videogame. EXTRA Não ERRO para lugar nenhum."""
"""Entendido. Porém, temos várias testemunhas que afirmam ter visto alguém com características físicas semelhantes às suas naquela área. Além disso, as imagens das câmeras de segurança mostram uma pessoa com roupas e estatura muito parecidas com as suas pichando o muro. Como o senhor explica isso?""","""Entendido. Porém, temos ERRO testemunhas que afirmam ter visto alguém com características físicas semelhantes às ERRO naquela área. Além disso, imagens EXTRA das câmeras de segurança mostram uma pessoa com e estatura muito parecidas com ERRO suas pichando o EXTRA muro. Como o senhor explica isso?"""
"""Essas câmeras podem ter pegado qualquer pessoa parecida comigo. Eu não estava lá, não sou eu nas imagens. Tenho certeza disso.""","""Essas câmeras podem ter pegado qualquer pessoa parecida comigo. Eu não EXTRA estava lá, não sou eu ERRO EXTRA imagens. ERRO certeza disso."""
"""Sabemos que o senhor tem uma página nas redes sociais, onde posta seus trabalhos com grafite, e a tipografia usada nas pichações é muito semelhante à que o senhor usa nos seus trabalhos. O senhor já viu as fotos da pichação? As letras são praticamente idênticas às que o senhor usa em seus murais. O que tem a dizer sobre isso?""","""Sabemos que o senhor tem uma ERRO nas ERRO sociais, onde posta seus trabalhos com grafite, e a tipografia usada nas pichações é muito semelhante ERRO que ERRO senhor usa nos seus trabalhos. O já viu as fotos da pichação? As letras são EXTRA praticamente idênticas às que o senhor ERRO seus murais. O que ERRO a dizer EXTRA sobre isso?"""
"""Isso é só coincidência. Eu faço grafite, mas não sou eu quem fez isso. Eu tenho meu estilo, mas não é só eu quem usa esse tipo de letra. Tem muita gente que pixa por aí.""","ERRO é só coincidência. Eu faço ERRO não sou eu quem fez isso. Eu tenho meu estilo, mas não é só eu quem usa EXTRA esse tipo letra. Tem muita gente que pixa por aí."""
"""Compreendo. No entanto, o senhor foi encontrado com latas de spray no momento da sua detenção, e a pichação foi feita com tinta spray. Como o senhor explica essa situação?""","""Compreendo. ERRO No entanto, o EXTRA senhor foi encontrado com latas de spray no momento sua detenção, e a pichação foi feita com tinta spray. o senhor explica essa situação?"""
"""Eu… eu estava com as latas de spray porque gosto de praticar grafite, mas não pichei aquele muro. Eu estava com meus amigos, mas não fiz nada errado.""","""Eu… eu estava com as EXTRA latas de spray porque gosto de praticar ERRO mas ERRO pichei aquele muro. Eu estava com meus ERRO mas não fiz nada errado."""
"""Então, o senhor estava com latas de spray e com amigos, mas afirma que não estava pichando o muro. Mas por que então as testemunhas disseram que o viram na área, exatamente onde a pichação aconteceu, e por que as câmeras capturaram uma pessoa tão parecida com o senhor? Isso não parece ser uma grande coincidência.""","ERRO o senhor estava com latas EXTRA de e com ERRO mas afirma que estava pichando o muro. Mas por que então as testemunhas disseram que o viram na área, onde a pichação aconteceu, e por que as câmeras uma pessoa tão parecida com o senhor? EXTRA Isso não parece EXTRA ser uma EXTRA grande coincidência."""
"""Eu não sei. Talvez me viram de longe e acharam que era eu. Eu estava perto do prédio, sim, mas não estava pichando nada.""","""Eu não sei. Talvez me viram ERRO longe e acharam que era eu. Eu estava perto do prédio, EXTRA sim, mas não estava ERRO ERRO"
"""Entendo. Mas o senhor entende que, mesmo que não tenha sido o senhor diretamente, estar com latas de spray e nas proximidades do local do crime torna a sua versão um pouco difícil de acreditar?""","""Entendo. Mas o entende mesmo que não tenha sido o ERRO diretamente, estar com EXTRA latas de e nas proximidades do local do crime torna a sua versão um pouco difícil de acreditar?"""
"""Eu não fiz nada. Só estava andando por lá, eu não estava fazendo nada de errado.""","""Eu não fiz nada. Só estava andando por lá, eu não estava fazendo nada EXTRA de ERRO"
"""O senhor tem algum histórico de vandalismo ou outros atos de grafite ilegais? Já foi detido antes por algo semelhante?""","""O tem algum histórico de vandalismo ERRO outros atos de grafite ilegais? Já detido antes por algo semelhante?"""
"""Não, nunca. Eu faço grafite, mas sempre em lugares permitidos, como muros autorizados pela cidade. Eu nunca faria algo ilegal.""","nunca. Eu faço grafite, mas sempre em lugares permitidos, autorizados ERRO cidade. Eu nunca faria algo ilegal."""
"""Mas o senhor sabe que, mesmo fazendo grafite, é ilegal vandalizar a propriedade de outras pessoas, principalmente um prédio histórico. O senhor não acha que, nesse caso, o fato de estar praticando grafite ilegalmente naquele lugar pode ter levado a uma reação impulsiva? Não acha que o senhor pode estar minimizando o que realmente aconteceu?""","""Mas EXTRA o senhor sabe que, mesmo fazendo grafite, é ilegal EXTRA a propriedade de outras principalmente um prédio O senhor não acha que, nesse caso, o EXTRA fato de estar praticando ERRO ilegalmente ERRO lugar pode levado a uma EXTRA reação impulsiva? Não acha que o senhor pode estar minimizando o que realmente aconteceu?"""
"""Eu não pichei aquele muro. Eu não fiz isso. Só porque eu gosto de grafite, não significa que eu seja culpado de qualquer coisa.""","""Eu não aquele muro. Eu não fiz Só porque eu gosto de grafite, não significa que eu seja de qualquer coisa."""
"""Luís, agradeço pela sua colaboração até aqui. Esta gravação será analisada junto com as outras provas. Se o senhor tiver algo mais a acrescentar ou ajustar em sua versão dos fatos, este é o momento.""","EXTRA EXTRA ""Luís, agradeço pela sua ERRO até aqui. Esta gravação será analisada junto as outras provas. Se o senhor ERRO algo a acrescentar ou ajustar em sua versão dos fatos, este é o momento."""
"""Não tenho mais nada a dizer. Eu não fiz isso.""","EXTRA tenho mais nada a dizer. Eu não fiz isso."""
"""Perfeito. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo e pela cooperação.""","O senhor será informado sobre os próximos passos do ERRO Obrigado pelo seu tempo e pela cooperação."""
"""Boa tarde, Fernanda Oliveira. Esta entrevista está sendo gravada. O senhor tem o direito de permanecer em silêncio e de contar com a presença de um advogado durante todo o processo. Está ciente de seus direitos?""","""Boa tarde, Fernanda EXTRA Oliveira. Esta entrevista está sendo gravada. O senhor tem ERRO direito de permanecer em silêncio e EXTRA de contar com a presença de um advogado durante o ERRO Está ciente de seus"
"""Sim, entendo.""","""Sim, entendo."""
"""Perfeito. Vamos começar. O motivo de sua convocação é um empréstimo de 50.000 euros que foi liberado para a senhora no banco 'Lisboa Finance', no mês de junho deste ano. Após uma análise detalhada, o banco identificou que os documentos apresentados por você eram falsificados e que a senhora não possuía o vínculo empregatício que afirmou ter na solicitação. Além disso, o dinheiro do empréstimo foi transferido para contas que não pertencem à senhora, o que configura uma fraude. Gostaria de saber o que a senhora tem a dizer sobre isso?""","""Perfeito. Vamos começar. O motivo EXTRA de sua convocação é um empréstimo de ERRO que foi liberado para a senhora no banco 'Lisboa Finance', mês de junho deste ano. Após uma análise ERRO o banco identificou EXTRA que os EXTRA documentos apresentados por você eram falsificados e que ERRO senhora não possuía o empregatício que afirmou ter solicitação. Além disso, EXTRA o ERRO do empréstimo foi transferido para contas EXTRA que não pertencem à senhora, o que configura uma fraude. Gostaria de saber o que a ERRO tem a dizer sobre isso?"""
"""Eu não fiz nada de errado. Eu só pedi o empréstimo para resolver uns problemas financeiros, mas tudo o que fiz foi dentro da lei.""","""Eu não nada de errado. Eu só pedi ERRO ERRO resolver uns problemas financeiros, mas tudo o que fiz foi dentro da lei."""
"""Fernanda, onde a senhora estava e o que estava fazendo no momento em que solicitou esse empréstimo? Como a senhora se preparou para o processo?""","""Fernanda, onde a senhora estava e o que estava fazendo EXTRA no momento em EXTRA solicitou esse empréstimo? Como a senhora se preparou para o ERRO"
"""Eu estava passando por um momento difícil, precisava de dinheiro para pagar dívidas. Eu fui no banco e apresentaram um empréstimo para mim, me disseram que eu teria que apresentar alguns documentos, então eu fiz o que me pediram.""","""Eu estava passando por um momento difícil, precisava de dinheiro ERRO pagar dívidas. Eu ERRO no banco e um empréstimo para mim, me disseram que eu teria que apresentar alguns documentos, então eu fiz EXTRA EXTRA o que me pediram."""
"""Entendo. Mas a questão é que os documentos apresentados não eram válidos. O comprovante de rendimento que a senhora forneceu, por exemplo, não corresponde com os registros da Receita Federal, e o comprovante de residência não era real. Como a senhora explica isso?""","""Entendo. Mas a questão é os documentos apresentados ERRO ERRO válidos. O EXTRA comprovante de rendimento que a senhora forneceu, por exemplo, não corresponde com os registros da Receita Federal, e o comprovante de residência não era real. Como a ERRO isso?"""
"""Eu… eu não sabia. Eu só estava tentando resolver a minha situação. Eu fiz o que me disseram, e quem me ajudou a preencher os documentos foi uma pessoa da minha confiança, a Marisa. Ela me disse que tudo estava certo, então eu não achei que houvesse nenhum problema.""","""Eu… eu Eu só estava tentando resolver a ERRO situação. Eu fiz EXTRA o que me disseram, EXTRA e quem me ajudou a preencher os documentos foi uma pessoa da minha confiança, a Marisa. EXTRA Ela me que tudo estava certo, então EXTRA eu não achei que houvesse problema."""
"""Então a senhora está afirmando que a responsabilidade seria de outra pessoa, a tal Marisa, que lhe forneceu os documentos falsificados?""","""Então a senhora está afirmando que a responsabilidade seria EXTRA de outra pessoa, a ERRO Marisa, que ERRO forneceu os EXTRA documentos falsificados?"""
"""Eu não sabia que eram falsificados. Eu confiei nela. Ela me garantiu que tudo estava certo, e eu só segui o que me disseram.""","""Eu não sabia que eram falsificados. Eu confiei nela. Ela me garantiu que tudo estava ERRO eu EXTRA só segui o que me disseram."""
"""Interessante. Mas o fato é que a senhora foi vista no banco, no momento em que assinou o contrato. Além disso, a senhora esteve presente quando a liberação do empréstimo foi autorizada. Mesmo com esses documentos, a senhora tinha plena consciência do que estava fazendo. Não acha que, ao participar desse processo, a senhora assumiu um risco, sabendo que as informações eram falsas?""","""Interessante. Mas o fato EXTRA EXTRA é que a senhora EXTRA foi vista ERRO banco, EXTRA no momento em que assinou o contrato. Além disso, a senhora esteve EXTRA presente quando a ERRO do empréstimo foi autorizada. Mesmo com esses documentos, a senhora tinha EXTRA plena consciência do que estava fazendo. Não que, ao participar desse processo, a senhora assumiu um risco, EXTRA sabendo que ERRO informações eram falsas?"""
"""Eu não sabia de nada, eu só estava desesperada para resolver meus problemas. Eu não sabia que estava cometendo um crime, eu só queria o dinheiro.""","""Eu EXTRA não sabia de nada, eu só ERRO desesperada para resolver meus problemas. Eu não sabia que estava cometendo um EXTRA crime, eu só queria o dinheiro."""
"""Fernanda, sabemos que o dinheiro foi transferido para contas em nome de terceiros. Como a senhora explica essas transferências?""","sabemos que o dinheiro foi transferido para contas nome de terceiros. Como a senhora essas transferências?"""
"""Eu não sei nada sobre isso. Eu pedi o empréstimo para me ajudar a pagar as minhas dívidas, e o banco me transferiu o dinheiro. Eu não sei por que o dinheiro foi para outras contas.""","""Eu não sei nada sobre EXTRA isso. Eu pedi o ERRO para me EXTRA ajudar EXTRA a pagar as minhas dívidas, e o banco me transferiu o dinheiro. Eu não sei por que o ERRO foi para outras contas."""
"""Essas contas, Fernanda, não pertencem a ninguém da sua família. E a senhora não tem vínculo com essas pessoas. O senhor entende que, ao redirecionar esse dinheiro, a senhora estava tentando ocultar a origem fraudulenta dos fundos?""","ERRO contas, Fernanda, não a ninguém da sua família. E a senhora não tem vínculo EXTRA com essas pessoas. O ERRO entende que, ao ERRO esse dinheiro, a ERRO estava tentando ocultar a ERRO fraudulenta dos fundos?"""
"""Eu não sabia! Eu só pedi o dinheiro, não sabia que tinha que se preocupar com isso. Eu estava no meio de um turbilhão de dívidas e apenas segui as orientações.""","""Eu não ERRO Eu só pedi o ERRO sabia que tinha se preocupar com ERRO Eu estava no meio de EXTRA um turbilhão de dívidas e apenas segui as orientações."""
"""Fernanda, a senhora já teve problemas com o sistema bancário ou com a justiça antes? Alguma acusação de fraude ou algo relacionado?""","""Fernanda, a senhora já teve problemas com o EXTRA sistema EXTRA bancário ou com a justiça antes? acusação ERRO fraude ou algo relacionado?"""
"""Não, nunca. Eu nunca tive problemas com o banco, sempre paguei minhas contas. Só que, dessa vez, a situação estava difícil, eu realmente não sabia como sair das dívidas.""","""Não, nunca. Eu nunca tive problemas com o banco, sempre paguei minhas contas. Só que, dessa vez, EXTRA a EXTRA situação estava difícil, eu realmente não sabia sair ERRO ERRO"
"""Compreendo. Mas a senhora entende que, mesmo que estivesse passando por dificuldades, o que fez configura um crime sério. Pedir um empréstimo com documentos falsificados e redirecionar o dinheiro para outras contas não é algo que pode ser facilmente ignorado.""","""Compreendo. Mas a senhora entende que, mesmo que estivesse passando por dificuldades, o que fez configura um EXTRA crime ERRO Pedir um EXTRA empréstimo ERRO falsificados e redirecionar o dinheiro para outras contas ERRO é algo pode ser facilmente ignorado."""
"""Eu só fiz isso porque estava desesperada. Não sabia que as coisas iam tomar essa proporção.""","""Eu só fiz isso porque estava ERRO Não sabia ERRO as coisas iam tomar essa ERRO"
"""Fernanda, agradeço pela sua colaboração até aqui. Esta gravação será analisada junto com as outras evidências. Se a senhora tiver algo mais a acrescentar ou ajustar em sua versão dos fatos, este é o momento.""","""Fernanda, agradeço pela sua colaboração até aqui. Esta gravação ERRO ERRO junto com as EXTRA outras evidências. Se a ERRO tiver algo mais a acrescentar ou ajustar em sua versão dos fatos, este é ERRO"
"""Eu não tenho nada mais a dizer. Eu só queria resolver minha situação e agora… agora não sei o que fazer.""","""Eu não tenho nada ERRO a dizer. Eu EXTRA queria resolver minha situação e agora… agora não sei o EXTRA que fazer."""
"""Perfeito. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo e pela cooperação.""","""Perfeito. O ERRO será sobre os próximos passos do processo. Obrigado pelo seu tempo e pela ERRO"
"""Boa tarde, Paulo Ferreira. Esta entrevista está sendo gravada. O senhor tem o direito de permanecer em silêncio e de contar com a presença de um advogado durante todo o processo. Está ciente de seus direitos?""","""Boa tarde, Paulo Ferreira. Esta entrevista está sendo gravada. O senhor tem o direito de permanecer em silêncio e de contar com a presença EXTRA de um advogado EXTRA todo o processo. Está ciente de direitos?"""
"""Sim, entendo.""","""Sim, entendo."""
"""Perfeito. O motivo do seu interrogatório é uma acusação de agressão contra sua ex-namorada, Mariana Silva. A senhora relatou que, no dia 3 de dezembro, durante uma discussão, o senhor a agrediu fisicamente, causando hematomas no rosto e quebrando objetos em sua casa. O senhor está ciente dessa acusação?""","""Perfeito. O motivo do seu EXTRA ERRO ERRO uma acusação de agressão contra sua ex-namorada, Mariana Silva. A senhora que, EXTRA ERRO dia 3 de dezembro, durante uma discussão, o senhor a agrediu EXTRA fisicamente, causando hematomas no rosto e quebrando objetos em sua casa. ERRO senhor ERRO ciente dessa acusação?"""
"""Sim, eu sei do que está falando, mas não agredi ninguém.""","""Sim, eu sei do EXTRA que está ERRO mas não agredi ninguém."""
"""Paulo, pode me contar como estava o seu relacionamento com a Mariana na noite do dia 3 de dezembro? Onde o senhor estava e o que aconteceu exatamente?""","""Paulo, pode EXTRA me contar como estava o seu relacionamento com EXTRA a EXTRA Mariana na EXTRA noite do dia 3 de dezembro? o senhor estava e o que aconteceu exatamente?"""
"""Olha, a Mariana e eu estávamos em um momento complicado. A gente teve algumas brigas antes, e no dia 3, nós discutimos novamente. Mas nunca falei ou fiz algo que justificasse isso. A gente sempre se desentendia, mas nunca foi para esse nível. Eu não a agredi, não fiz nada disso.""","""Olha, a Mariana e eu EXTRA estávamos em EXTRA um momento complicado. A gente teve algumas brigas antes, e no ERRO 3, nós discutimos novamente. Mas nunca falei ou algo que justificasse EXTRA isso. A gente ERRO se desentendia, mas nunca ERRO esse nível. Eu não a agredi, ERRO fiz nada disso."""
"""Entendido. Então, o senhor confirma que teve uma discussão com ela, mas nega que tenha agredido a Mariana, certo?""","ERRO Então, o senhor confirma que teve uma com ela, mas que tenha agredido a Mariana, certo?"""
"""Sim, exatamente. A gente brigou, mas eu não a toquei de forma agressiva.""","EXTRA ""Sim, exatamente. A gente ERRO mas eu não a toquei de forma agressiva."""
"""Paulo, temos o relato da vítima, que descreve os detalhes da agressão, incluindo o fato de que o senhor a empurrou contra a parede e a agrediu fisicamente. Além disso, há fotos que mostram hematomas visíveis no rosto dela. O que tem a dizer sobre isso?""","""Paulo, temos o relato da vítima, que descreve os detalhes incluindo o fato de que o senhor empurrou contra a parede e a agrediu ERRO Além disso, fotos mostram hematomas visíveis dela. O que tem a dizer sobre isso?"""
"""Eu não empurrei ela. Eu não sou esse tipo de pessoa. As fotos podem ter sido tiradas depois da briga, mas eu não fiz nada de violento. A gente discutiu, mas não houve agressão física.""","não empurrei ela. Eu não sou esse tipo de pessoa. ERRO ERRO podem sido tiradas depois da EXTRA EXTRA briga, mas eu não fiz nada de violento. A gente discutiu, mas não houve agressão física."""
"""Paulo, a vítima foi clara sobre o que aconteceu. Ela falou que foi empurrada e que, depois disso, o senhor a agrediu fisicamente, causando os hematomas. Além disso, os vizinhos ouviram gritos e barulhos de objetos quebrando na hora da briga. Como o senhor explica essa situação?""","""Paulo, a foi clara sobre o que ERRO Ela falou que foi ERRO e que, depois disso, o a agrediu fisicamente, causando hematomas. Além disso, os vizinhos ouviram gritos e barulhos EXTRA de objetos quebrando na da briga. Como o senhor explica ERRO situação?"""
"""Eu sei que gritaram, mas não foi por causa de agressão. A gente discutiu, os ânimos se exaltaram, mas nada além disso. Eu não quebrei nada nem a agredi. Os barulhos podem ter sido a gente discutindo, empurrando móveis, sei lá.""","""Eu sei que gritaram, mas não foi por causa EXTRA de ERRO A gente os ânimos se exaltaram, mas nada além disso. Eu não quebrei nada a agredi. Os barulhos podem EXTRA ter sido ERRO gente discutindo, ERRO móveis, sei lá."""
"""Paulo, mas se não houve agressão, como o senhor explica o sangue que foi encontrado nas suas roupas? E as testemunhas relataram que o senhor estava visivelmente alterado quando foi encontrado em casa. Isso não parece indicar que algo mais sério aconteceu?""","""Paulo, mas agressão, como o senhor explica o sangue que foi encontrado nas EXTRA suas roupas? ERRO as testemunhas relataram que o EXTRA EXTRA senhor estava visivelmente alterado quando foi encontrado em casa. Isso não parece indicar que algo mais sério aconteceu?"""
"""Eu… eu estava alterado, sim, mas não porque fiz algo errado. A discussão me deixou nervoso, mas eu não agredi a Mariana. O sangue pode ter sido de um corte que eu mesmo fiz enquanto estava nervoso. Eu estava em um estado de fúria, mas isso não significa que fiz mal a ela.""","""Eu… eu alterado, sim, mas não porque algo errado. A discussão me deixou nervoso, mas eu não agredi a O sangue pode ter sido de um corte que eu mesmo fiz EXTRA estava nervoso. EXTRA Eu estava em um estado de fúria, mas EXTRA isso não ERRO que fiz mal a ERRO"
"""Entendo. Porém, o relato da vítima é consistente, e o senhor foi encontrado em uma condição alterada, com vestígios de sangue. Isso não pode ser ignorado. As evidências apontam para uma agressão, e mesmo que o senhor não tenha tido a intenção, a vítima foi claramente ferida. Não acha que deveria ser mais honesto sobre o que aconteceu?""","""Entendo. Porém, o relato da ERRO é consistente, ERRO o senhor ERRO encontrado em uma ERRO com vestígios de sangue. Isso não pode ser ignorado. As evidências apontam para uma ERRO e mesmo que senhor não tenha tido a intenção, ERRO vítima foi claramente ferida. Não acha que deveria ser mais honesto sobre o que aconteceu?"""
"""Eu sei que as coisas saíram do controle, mas eu não fiz nada de intencional. Eu só me descontrolei na discussão, e quando vi, as coisas estavam fora de controle. Eu nunca quis fazer mal a ela.""","""Eu sei que ERRO coisas saíram do controle, mas eu não fiz nada de intencional. ERRO só EXTRA me ERRO na discussão, e quando vi, as coisas estavam fora controle. Eu nunca quis mal a ela."""
"""Paulo, a senhora Mariana tem um histórico de ser vítima de abusos psicológicos e físicos em relacionamentos anteriores. Isso foi discutido com ela? O senhor tem conhecimento disso?""","""Paulo, a senhora Mariana tem um EXTRA histórico de EXTRA ser vítima de ERRO psicológicos e físicos EXTRA em relacionamentos anteriores. Isso foi discutido com ERRO O senhor tem conhecimento disso?"""
"""Eu sabia que ela já tinha passado por dificuldades, mas nunca quis fazer mal a ela. Eu sei que as coisas estavam difíceis, mas não foi minha intenção machucá-la.""","""Eu sabia EXTRA que ela já tinha passado por dificuldades, EXTRA mas nunca EXTRA quis fazer mal a ela. Eu sei que as coisas difíceis, mas EXTRA não foi minha intenção machucá-la."""
"""Compreendo. Mas o senhor não acha que o fato de já saber do histórico dela de abuso poderia ter levado a uma maior conscientização de como lidar com a situação? O senhor acha que, ao se descontrolar, acabou ultrapassando limites?""","""Compreendo. o senhor não acha EXTRA que o fato de já saber do histórico dela de abuso poderia ter levado a ERRO maior conscientização de lidar ERRO a situação? O senhor acha que, ao se descontrolar, acabou ultrapassando limites?"""
"""Sim, eu sei que a situação poderia ter sido tratada de outra forma, mas eu estava nervoso, a discussão foi muito intensa. Eu não sou um homem agressivo, não queria machucar ela.""","""Sim, eu EXTRA sei que a situação poderia ter sido tratada de ERRO forma, ERRO eu estava nervoso, a discussão foi muito Eu não sou um homem agressivo, não EXTRA queria ERRO ela."""
"""Paulo, agradeço pela sua colaboração até aqui. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira adicionar ou ajustar em sua versão, este é o momento.""","EXTRA agradeço pela colaboração até aqui. Esta gravação EXTRA será analisada junto com as outras evidências. Se houver algo mais que ERRO adicionar ou EXTRA ajustar em sua versão, este é o momento."""
"""Eu não tenho mais nada a dizer. Eu não queria machucar ela. Eu me arrependo de tudo.""","""Eu não tenho mais nada a dizer. Eu não queria machucar ela. Eu EXTRA arrependo EXTRA de tudo."""
"""Perfeito. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo e pela cooperação.""","EXTRA ""Perfeito. O senhor informado sobre os próximos EXTRA passos do processo. Obrigado pelo seu tempo e pela cooperação."""
"""Boa tarde, Ricardo Santos. Esta entrevista está sendo gravada. O senhor tem o direito de permanecer em silêncio e de contar com a presença de um advogado durante todo o processo. Está ciente de seus direitos?""","""Boa tarde, Ricardo Santos. Esta entrevista está sendo gravada. O ERRO senhor tem o direito de permanecer em silêncio e de EXTRA EXTRA contar a presença de um advogado durante todo o processo. Está ciente de seus EXTRA direitos?"""
"""Sim, entendo.""","""Sim, entendo."""
"""Ótimo. O motivo do seu interrogatório é uma acusação de tráfico de drogas. Durante uma busca em sua residência, encontramos pacotes de cocaína, uma balança de precisão, dinheiro e vários celulares com mensagens que indicam transações relacionadas a tráfico. O senhor está ciente dessas evidências?""","O motivo seu interrogatório ERRO uma acusação de tráfico de ERRO Durante uma busca em sua residência, pacotes cocaína, uma balança de precisão, dinheiro e vários ERRO com mensagens ERRO indicam transações relacionadas a tráfico. O senhor está ciente dessas evidências?"""
"""Olha, eu não sei de nada disso. Eu não sou traficante.""","""Olha, eu não sei de nada disso. EXTRA Eu não traficante."""
"""Ricardo, onde o senhor estava no momento da prisão e o que aconteceu para que os policiais fossem até sua residência?""","""Ricardo, onde ERRO estava no da prisão e o que aconteceu para que os policiais fossem até sua residência?"""
"""Eu estava em casa. Não sei por que os policiais invadiram meu apartamento. Eu não faço nada de errado. Só estava em casa, tranquilo.""","""Eu estava em ERRO Não sei por que os policiais invadiram meu apartamento. Eu não faço EXTRA nada de errado. Só estava em tranquilo."""
"""Entendido. No entanto, temos provas que indicam o contrário. A senhora sabe por que os policiais estavam em sua casa? Recebemos informações de várias fontes confiáveis que ligaram o senhor ao tráfico de drogas. Como o senhor explica isso?""","ERRO No temos provas que indicam o contrário. A senhora sabe ERRO ERRO os policiais estavam em sua casa? Recebemos informações de várias fontes confiáveis que ligaram o ERRO ao tráfico de drogas. ERRO o senhor isso?"""
"""Isso deve ser algum engano. Eu não sou traficante. Não tenho nada a ver com isso. Eu não vendi nada para ninguém.""","EXTRA ERRO deve ser EXTRA algum engano. Eu não sou traficante. Não tenho nada ERRO ver com isso. Eu não vendi nada para ninguém."""
"""Ricardo, encontramos pacotes de cocaína em sua casa, todos perfeitamente embalados, prontos para venda. Além disso, a balança de precisão e os celulares que continham mensagens como 'entrega feita' e 'próximo lote'. O senhor pode explicar o que isso significa?""","""Ricardo, encontramos pacotes de cocaína em sua casa, todos perfeitamente embalados, prontos para venda. Além disso, a ERRO balança de precisão e os celulares que EXTRA continham como 'entrega feita' 'próximo lote'. O senhor pode o que EXTRA isso significa?"""
"""Eu… eu não sei. Esses pacotes não são meus. Eu não tenho nada a ver com isso. Alguém deve ter colocado isso lá, eu não sei.""","""Eu… eu não Esses pacotes não são meus. Eu tenho nada a ver com EXTRA isso. Alguém deve colocado isso lá, eu não EXTRA sei."""
